sim_time,rsu_id,rsu_x,rsu_y,obj_type,obj_id,obj_x,obj_y,distance_m,speed_mps
15.6,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,74.17455117609464,64.1944936786107,8.557005324564873
15.6,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,58.47292830437641,48.49932760772272,8.55423310558892
15.6,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,44.1733228444183,34.2107584573748,8.026649967385369
15.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,137.38310677843353,127.39315481031859,9.976688454635442
15.8,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,75.85465010748283,65.8740839843636,8.400494656940921
15.8,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,60.19155610250811,50.217051924532754,8.593138990658495
15.8,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,45.80918379383987,35.844910991394634,8.17930474710786
16.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,139.36194698002,129.37184131974587,9.894201007932425
16.0,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,77.54392436009702,67.56287233357169,8.446371263070962
16.0,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,61.85024665900306,51.87492726355824,8.293452782474755
16.0,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,47.460111082026145,37.494265191862844,8.254636440931353
16.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,141.3517917966414,131.36153625848107,9.949224083106964
16.2,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,79.24251318706276,69.26099647319954,8.492944134828633
16.2,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,63.53284567586053,53.55675089244585,8.412995084287292
16.2,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,49.05728625391947,39.09004489023525,7.985875859466617
16.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,143.34165370630473,133.3512527617648,9.949309548316524
16.4,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,80.93387326513326,70.95191594589949,8.456800390352495
16.4,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,65.2259177003555,55.24909036216287,8.465360122474896
16.4,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,50.676524511919276,40.70798013128101,8.096191289999018
16.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,145.33089680145866,135.34035476932613,9.946215475769714
16.6,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,82.61394536505195,72.63157069400846,8.400360499593429
16.6,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,66.91175047801767,56.93423699736516,8.429163888310823
16.6,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,52.31524056074135,42.345478905231545,8.193580244110391
16.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,147.31027456409484,137.31959620122362,9.89688881318085
16.8,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,84.31579437778092,74.33301617720495,8.509245063644833
16.8,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,68.57852633235379,58.600373269035295,8.333879271680603
16.8,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,53.936297505479274,43.96542094066636,8.10528472368962
17.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,149.29779803612456,139.30698667946612,9.937617360148579
17.0,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,86.01628230367939,76.03311893689933,8.502439629492349
17.0,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,70.2849959966898,60.306224739415626,8.532348321680088
17.0,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,55.56306311428036,45.59114739021047,8.133828044005448
17.2,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,151.2864126966633,141.29547201765476,9.943073302693666
17.2,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,87.71618396849169,77.73265240955338,8.49950832406152
17.2,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,71.97595287959349,61.9966026112205,8.454784414518482
17.2,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,57.207216812150904,47.23432352801745,8.220768489352688
17.4,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,153.2804471219443,143.28938037225325,9.970172126404941
17.4,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,89.39993162252011,79.41605090698523,8.418738270142114
17.4,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,73.65600630383534,63.676111207845636,8.400267121209238
17.4,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,58.832076405616284,48.85828165300072,8.124297967326921
17.6,RSU_A2,600.0,10.0,vehicle,veh_29,598.4,8.1,2.483948469674859,9.586
17.6,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,155.2683026488349,145.27711366376155,9.939277634453028
17.6,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,91.09614789399991,81.11193009197541,8.481081357399
17.6,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,75.34554568380469,65.36513092401945,8.447696899846727
17.6,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,60.476730411134064,50.50208226398498,8.223270027588919
17.8,RSU_A2,600.0,10.0,vehicle,veh_29,598.4,10.006031695284694,1.6000113691308822,9.530158476423473
17.8,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,157.26454743961617,147.2732390239142,9.981223953906447
17.8,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,92.79306514664034,82.80852393549732,8.48458626320213
17.8,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,77.03670756757661,67.05579886557749,8.45580941885961
17.8,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,62.11037489809534,52.13493235844892,8.16822243480633
18.0,RSU_A2,600.0,10.0,vehicle,veh_29,598.4,11.913080509779602,2.4939681306902575,9.535244072474539
18.0,RSU_A2,600.0,10.0,vehicle,veh_5,598.4,159.24117461003922,149.24975108516668,9.88313585211523
18.0,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,94.50509486597556,84.52024052443018,8.560148596676065
18.0,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,78.73021073349751,68.74883175349947,8.46751582960449
18.0,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,63.73949167435324,53.76330500832218,8.145583881289587
18.2,RSU_A2,600.0,10.0,vehicle,veh_29,598.4,13.826200721217694,4.147265600253602,9.565601057190449
18.2,RSU_A2,600.0,10.0,vehicle,veh_30,598.4,2.3000000000000003,7.864477096412708,6.642124248860261
18.2,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,96.18446395850073,86.19931454376021,8.396845462625846
18.2,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,80.41856251401074,70.4367371940214,8.441758902566125
18.2,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,65.40115550347957,55.424254899102834,8.308319145631627
18.4,RSU_A2,600.0,10.0,vehicle,veh_29,598.4,15.740418807680907,5.9592288165144955,9.571090432316065
18.4,RSU_A2,600.0,10.0,vehicle,veh_30,598.4,3.5697701527468584,6.626300316806145,6.348850763734287
18.4,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,97.88200260290414,87.8965663805865,8.487693222017027
18.4,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,82.08366724052492,72.10142219708794,8.325523632570835
18.4,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,67.05207984889533,57.07451108055792,8.254621727078783
18.6,RSU_A2,600.0,10.0,vehicle,veh_29,598.4,17.645080251369627,7.810713927028819,9.523307218443602
18.6,RSU_A2,600.0,10.0,vehicle,veh_30,598.4,4.853257673144657,5.389708394620661,6.4174376019889925
18.6,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,99.58736409660636,89.60165068668051,8.526807468511164
18.6,RSU_A4,1200.0,10.0,vehicle,veh_15,1198.4,83.78105127104439,73.79839785971292,8.486920152597365
18.6,RSU_A4,1200.0,10.0,vehicle,veh_16,1198.4,68.69748428758325,58.71928696511124,8.227022193439566
18.8,RSU_A2,600.0,10.0,vehicle,veh_29,598.4,19.549444625646622,9.682556101479156,9.52182187138498
18.8,RSU_A2,600.0,10.0,vehicle,veh_30,598.4,6.18077061676002,4.140834829089868,6.637564718076817
18.8,RSU_A4,1200.0,10.0,vehicle,veh_12,1198.4,101.27502108436397,91.28904355918671,8.43828493878804
