sim_time,veh_id,type,edge,lane,lane_pos,x,y,speed,accel,angle,route_id,leader_id,gap_to_leader
5.4,veh_4,car,S4N_A4,S4N_A4_0,26.09,1201.6,373.91,8.89,0.434,180.0,north4east,veh_3,5.617
5.4,veh_5,bus,S2S_A2,S2S_A2_0,33.99,598.4,33.99,9.942,0.054,0.0,south2east,,
5.4,veh_6,bus,S4N_A4,S4N_A4_0,15.61,1201.6,384.39,5.995,0.822,180.0,north4east,veh_4,3.483
5.4,veh_8,truck,S2N_A2,S2N_A2_0,13.57,601.6,386.43,9.134,0.123,180.0,north2west,veh_2,24.711
5.6,veh_1,car,A0_A1,A0_A1_2,79.09,79.09,201.6,14.873,-0.286,90.0,east_main,,
5.6,veh_2,auto,S2N_A2,S2N_A2_0,45.61,601.6,354.39,9.166,-0.945,180.0,north2west,,
5.6,veh_3,car,S4N_A4,S4N_A4_0,40.72,1201.6,359.28,10.036,-0.321,180.0,north4east,,
5.6,veh_4,car,S4N_A4,S4N_A4_0,27.88,1201.6,372.12,8.933,0.214,180.0,north4east,veh_3,5.838
5.6,veh_5,bus,S2S_A2,S2S_A2_0,35.98,598.4,35.98,9.924,-0.088,0.0,south2east,,
5.6,veh_6,bus,S4N_A4,S4N_A4_0,16.83,1201.6,383.17,6.12,0.625,180.0,north4east,veh_4,4.045
5.6,veh_8,truck,S2N_A2,S2N_A2_0,15.39,601.6,384.61,9.129,-0.027,180.0,north2west,veh_2,24.718
5.6,veh_9,car,A0_A1,A0_A1_1,4.6,4.6,204.8,15.0,0.0,90.0,east_main,,
5.8,veh_1,car,A0_A1,A0_A1_2,82.06,82.06,201.6,14.847,-0.126,90.0,east_main,,
5.8,veh_2,auto,S2N_A2,S2N_A2_0,47.48,601.6,352.52,9.336,0.85,180.0,north2west,,
5.8,veh_3,car,S4N_A4,S4N_A4_0,42.72,1201.6,357.28,10.002,-0.17,180.0,north4east,,
5.8,veh_4,car,S4N_A4,S4N_A4_0,29.68,1201.6,370.32,9.004,0.356,180.0,north4east,veh_3,6.037
5.8,veh_5,bus,S2S_A2,S2S_A2_0,37.97,598.4,37.97,9.975,0.251,0.0,south2east,,
5.8,veh_6,bus,S4N_A4,S4N_A4_0,18.09,1201.6,381.91,6.264,0.718,180.0,north4east,veh_4,4.593
5.8,veh_8,truck,S2N_A2,S2N_A2_0,17.22,601.6,382.78,9.127,-0.01,180.0,north2west,veh_2,24.76
5.8,veh_9,car,A0_A1,A0_A1_1,7.59,7.59,204.8,14.964,-0.18,90.0,east_main,,
6.0,veh_1,car,A0_A1,A0_A1_2,85.04,85.04,201.6,14.875,0.136,90.0,east_main,,
6.0,veh_2,auto,S2N_A2,S2N_A2_0,49.31,601.6,350.69,9.157,-0.896,180.0,north2west,,
6.0,veh_3,car,S4N_A4,S4N_A4_0,44.71,1201.6,355.29,9.98,-0.109,180.0,north4east,,
6.0,veh_4,car,S4N_A4,S4N_A4_0,31.48,1201.6,368.52,9.011,0.034,180.0,north4east,veh_3,6.231
6.0,veh_5,bus,S2S_A2,S2S_A2_0,39.96,598.4,39.96,9.942,-0.163,0.0,south2east,,
6.0,veh_6,bus,S4N_A4,S4N_A4_0,19.36,1201.6,380.64,6.375,0.555,180.0,north4east,veh_4,5.12
6.0,veh_7,car,S4N_A4,S4N_A4_0,4.6,1201.6,395.4,4.059,0.0,180.0,north4east,veh_6,0.262
6.0,veh_8,truck,S2N_A2,S2N_A2_0,19.04,601.6,380.96,9.131,0.021,180.0,north2west,veh_2,24.765
6.0,veh_9,car,A0_A1,A0_A1_1,10.56,10.56,204.8,14.84,-0.622,90.0,east_main,,
6.2,veh_1,car,A0_A1,A0_A1_1,88.03,88.03,204.8,14.936,0.308,90.0,east_main,,
6.2,veh_10,mtw,S2N_A2,S2N_A2_0,2.3,601.6,397.7,8.776,0.0,180.0,north2west,veh_8,8.064
6.2,veh_2,auto,S2N_A2,S2N_A2_0,51.17,601.6,348.83,9.315,0.791,180.0,north2west,,
6.2,veh_3,car,S4N_A4,S4N_A4_0,46.7,1201.6,353.3,9.924,-0.28,180.0,north4east,,
6.2,veh_4,car,S4N_A4,S4N_A4_0,33.29,1201.6,366.71,9.025,0.069,180.0,north4east,veh_3,6.411
6.2,veh_5,bus,S2S_A2,S2S_A2_0,41.96,598.4,41.96,9.971,0.144,0.0,south2east,,
6.2,veh_6,bus,S4N_A4,S4N_A4_0,20.67,1201.6,379.33,6.556,0.903,180.0,north4east,veh_4,5.614
6.2,veh_7,car,S4N_A4,S4N_A4_0,5.38,1201.6,394.62,3.9,-0.796,180.0,north4east,veh_6,0.793
6.2,veh_8,truck,S2N_A2,S2N_A2_0,20.86,601.6,379.14,9.102,-0.144,180.0,north2west,veh_2,24.808
